year,Primary Type,count
2006,OTHER NARCOTIC VIOLATION,9
2006,OTHER OFFENSE,27100
2006,PROSTITUTION,7034
2006,PUBLIC INDECENCY,4
2006,PUBLIC PEACE VIOLATION,3068
2006,RITUALISM,7
2006,ROBBERY,15968
2006,SEX OFFENSE,1565
2006,STALKING,186
2006,THEFT,86240
2006,WEAPONS VIOLATION,3821
2007,ARSON,712
2007,ASSAULT,26313
2007,BATTERY,79591
2007,BURGLARY,24858
2007,CRIM SEXUAL ASSAULT,1542
2007,CRIMINAL DAMAGE,53749
2007,CRIMINAL TRESPASS,13699
2007,DECEPTIVE PRACTICE,14150
2007,GAMBLING,1409
2007,HOMICIDE,447
2007,INTERFERENCE WITH PUBLIC OFFICER,677
2007,INTIMIDATION,255
2007,KIDNAPPING,330
2007,LIQUOR LAW VIOLATION,1170
2007,MOTOR VEHICLE THEFT,18573
2007,NARCOTICS,54454
2007,OBSCENITY,11
2007,OFFENSE INVOLVING CHILDREN,2884
2007,OTHER NARCOTIC VIOLATION,12
2007,OTHER OFFENSE,26863
2007,PROSTITUTION,6087
2007,PUBLIC INDECENCY,5
2007,PUBLIC PEACE VIOLATION,3315
2007,RITUALISM,1
2007,ROBBERY,15450
2007,SEX OFFENSE,1528
2007,STALKING,213
2007,THEFT,85156
2007,WEAPONS VIOLATION,3554
2008,ARSON,644
2008,ASSAULT,25447
2008,BATTERY,75922
2008,BURGLARY,26218
2008,CRIM SEXUAL ASSAULT,1531
2008,CRIMINAL DAMAGE,52841
2008,CRIMINAL TRESPASS,12310
2008,DECEPTIVE PRACTICE,14892
2008,GAMBLING,1199
2008,HOMICIDE,513
2008,INTERFERENCE WITH PUBLIC OFFICER,580
2008,INTIMIDATION,261
2008,KIDNAPPING,359
2008,LIQUOR LAW VIOLATION,912
2008,MOTOR VEHICLE THEFT,18881
2008,NARCOTICS,46507
2008,OBSCENITY,13
2008,OFFENSE INVOLVING CHILDREN,2622
2008,OTHER NARCOTIC VIOLATION,12
2008,OTHER OFFENSE,26533
2008,PROSTITUTION,5141
2008,PUBLIC INDECENCY,4
2008,PUBLIC PEACE VIOLATION,3013
2008,ROBBERY,16703
2008,SEX OFFENSE,1491
2008,STALKING,190
2008,THEFT,88433
2008,WEAPONS VIOLATION,3877
2009,ARSON,616
2009,ASSAULT,22861
2009,BATTERY,68462
2009,BURGLARY,26766
2009,CRIM SEXUAL ASSAULT,1418
2009,CRIMINAL DAMAGE,47724
2009,CRIMINAL TRESPASS,10851
2009,DECEPTIVE PRACTICE,13819
2009,GAMBLING,991
2009,HOMICIDE,460
2009,INTERFERENCE WITH PUBLIC OFFICER,573
2009,INTIMIDATION,231
2009,KIDNAPPING,293
2009,LIQUOR LAW VIOLATION,746
2009,MOTOR VEHICLE THEFT,15482
2009,NARCOTICS,43543
2009,NON-CRIMINAL,1
2009,OBSCENITY,21
2009,OFFENSE INVOLVING CHILDREN,2581
2009,OTHER NARCOTIC VIOLATION,7
2009,OTHER OFFENSE,25601
2009,PROSTITUTION,3940
2009,PUBLIC INDECENCY,10
2009,PUBLIC PEACE VIOLATION,3147
2009,ROBBERY,15980
2009,SEX OFFENSE,1254
2009,STALKING,167
2009,THEFT,80973
2009,WEAPONS VIOLATION,4158
2010,ARSON,522
2010,ASSAULT,21536
2010,BATTERY,65403
2010,BURGLARY,26422
2010,CRIM SEXUAL ASSAULT,1359
2010,CRIMINAL DAMAGE,40653
2010,CRIMINAL TRESPASS,9401
2010,DECEPTIVE PRACTICE,12500
2010,GAMBLING,927
2010,HOMICIDE,438
2010,INTERFERENCE WITH PUBLIC OFFICER,797
2010,INTIMIDATION,197
2010,KIDNAPPING,313
2010,LIQUOR LAW VIOLATION,736
2010,MOTOR VEHICLE THEFT,19029
2010,NARCOTICS,43393
2010,NON-CRIMINAL,1
2010,OBSCENITY,34
2010,OFFENSE INVOLVING CHILDREN,2554
2010,OTHER NARCOTIC VIOLATION,6
2010,OTHER OFFENSE,22013
2010,PROSTITUTION,2485
2010,PUBLIC INDECENCY,7
2010,PUBLIC PEACE VIOLATION,3538
2010,ROBBERY,14274
2010,SEX OFFENSE,1117
2010,STALKING,189
2010,THEFT,76754
2010,WEAPONS VIOLATION,3704
2011,ARSON,504
2011,ASSAULT,20411
2011,BATTERY,60458
2011,BURGLARY,26619
2011,CRIM SEXUAL ASSAULT,1481
2011,CRIMINAL DAMAGE,37332
2011,CRIMINAL TRESPASS,8659
2011,DECEPTIVE PRACTICE,12642
2011,GAMBLING,736
2011,HOMICIDE,438
2011,INTERFERENCE WITH PUBLIC OFFICER,1048
2011,INTIMIDATION,171
2011,KIDNAPPING,266
2011,LIQUOR LAW VIOLATION,619
2011,MOTOR VEHICLE THEFT,19388
2011,NARCOTICS,38605
2011,OBSCENITY,40
2011,OFFENSE INVOLVING CHILDREN,2352
2011,OTHER NARCOTIC VIOLATION,5
2011,OTHER OFFENSE,20191
2011,PROSTITUTION,2424
2011,PUBLIC INDECENCY,13
2011,PUBLIC PEACE VIOLATION,3095
2011,ROBBERY,13983
2011,SEX OFFENSE,1075
2011,STALKING,181
2011,THEFT,75149
2011,WEAPONS VIOLATION,3880
2012,ARSON,469
2012,ASSAULT,19898
2012,BATTERY,59135
2012,BURGLARY,22843
2012,CRIM SEXUAL ASSAULT,1423
2012,CRIMINAL DAMAGE,35854
2012,CRIMINAL TRESPASS,8216
2012,DECEPTIVE PRACTICE,13618
2012,GAMBLING,724
2012,HOMICIDE,506
2012,INTERFERENCE WITH PUBLIC OFFICER,1228
2012,INTIMIDATION,156
2012,KIDNAPPING,235
2012,LIQUOR LAW VIOLATION,573
2012,MOTOR VEHICLE THEFT,16492
2012,NARCOTICS,35488
2012,NON-CRIMINAL,6
2012,NON-CRIMINAL (SUBJECT SPECIFIED),2
2012,OBSCENITY,26
2012,OFFENSE INVOLVING CHILDREN,2219
2012,OTHER NARCOTIC VIOLATION,6
2012,OTHER OFFENSE,17481
2012,PROSTITUTION,2204
2012,PUBLIC INDECENCY,17
2012,PUBLIC PEACE VIOLATION,3007
2012,ROBBERY,13485
2012,SEX OFFENSE,1063
2012,STALKING,207
2012,THEFT,75460
2012,WEAPONS VIOLATION,3907
2013,ARSON,364
2013,ASSAULT,17972
2013,BATTERY,54002
2013,BURGLARY,17894
2013,CRIM SEXUAL ASSAULT,1300
2013,CRIMINAL DAMAGE,30853
2013,CRIMINAL TRESPASS,8136
2013,DECEPTIVE PRACTICE,13726
2013,GAMBLING,596
2013,HOMICIDE,422
2013,HUMAN TRAFFICKING,2
2013,INTERFERENCE WITH PUBLIC OFFICER,1281
2013,INTIMIDATION,134
2013,KIDNAPPING,242
2013,LIQUOR LAW VIOLATION,465
2013,MOTOR VEHICLE THEFT,12582
2013,NARCOTICS,34127
2013,NON - CRIMINAL,3
2013,NON-CRIMINAL,4
2013,OBSCENITY,24
2013,OFFENSE INVOLVING CHILDREN,2373
2013,OTHER NARCOTIC VIOLATION,5
2013,OTHER OFFENSE,17994
2013,PROSTITUTION,1652
2013,PUBLIC INDECENCY,10
2013,PUBLIC PEACE VIOLATION,3135
2013,ROBBERY,11820
2013,SEX OFFENSE,1026
2013,STALKING,154
2013,THEFT,71530
2013,WEAPONS VIOLATION,3246
2014,ARSON,397
2014,ASSAULT,16901
2014,BATTERY,49447
2014,BURGLARY,14570
2014,CONCEALED CARRY LICENSE VIOLATION,15
2014,CRIM SEXUAL ASSAULT,1343
2014,CRIMINAL DAMAGE,27798
2014,CRIMINAL TRESPASS,7539
2014,DECEPTIVE PRACTICE,15679
2014,GAMBLING,393
2014,HOMICIDE,426
2014,HUMAN TRAFFICKING,2
2014,INTERFERENCE WITH PUBLIC OFFICER,1399
2014,INTIMIDATION,115
2014,KIDNAPPING,220
2014,LIQUOR LAW VIOLATION,397
2014,MOTOR VEHICLE THEFT,9912
2014,NARCOTICS,29117
2014,NON - CRIMINAL,10
2014,NON-CRIMINAL,17
2014,NON-CRIMINAL (SUBJECT SPECIFIED),1
2014,OBSCENITY,38
2014,OFFENSE INVOLVING CHILDREN,2389
2014,OTHER NARCOTIC VIOLATION,10
2014,OTHER OFFENSE,16979
2014,PROSTITUTION,1626
2014,PUBLIC INDECENCY,10
2014,PUBLIC PEACE VIOLATION,2903
2014,ROBBERY,9799
2014,SEX OFFENSE,980
2014,STALKING,140
2014,THEFT,61562
2014,WEAPONS VIOLATION,3114
2015,ARSON,453
2015,ASSAULT,17045
2015,BATTERY,48920
2015,BURGLARY,13183
2015,CONCEALED CARRY LICENSE VIOLATION,34
2015,CRIM SEXUAL ASSAULT,1395
2015,CRIMINAL DAMAGE,28675
2015,CRIMINAL TRESPASS,6401
2015,DECEPTIVE PRACTICE,16003
2015,GAMBLING,310
2015,HOMICIDE,502
2015,HUMAN TRAFFICKING,13
2015,INTERFERENCE WITH PUBLIC OFFICER,1308
2015,INTIMIDATION,123
2015,KIDNAPPING,190
2015,LIQUOR LAW VIOLATION,292
2015,MOTOR VEHICLE THEFT,10068
2015,NARCOTICS,23883
2015,NON - CRIMINAL,20
2015,NON-CRIMINAL,16
2015,OBSCENITY,48
2015,OFFENSE INVOLVING CHILDREN,2322
2015,OTHER NARCOTIC VIOLATION,5
2015,OTHER OFFENSE,17553
2015,PROSTITUTION,1322
2015,PUBLIC INDECENCY,14
2015,PUBLIC PEACE VIOLATION,2422
2015,ROBBERY,9639
2015,SEX OFFENSE,997
2015,STALKING,154
2015,THEFT,57336
2015,WEAPONS VIOLATION,3364
2016,ARSON,516
2016,ASSAULT,18739
2016,BATTERY,50292
2016,BURGLARY,14287
2016,CONCEALED CARRY LICENSE VIOLATION,36
2016,CRIM SEXUAL ASSAULT,1560
2016,CRIMINAL DAMAGE,31018
2016,CRIMINAL TRESPASS,6308
2016,DECEPTIVE PRACTICE,18788
2016,GAMBLING,189
2016,HOMICIDE,786
2016,HUMAN TRAFFICKING,11
2016,INTERFERENCE WITH PUBLIC OFFICER,936
2016,INTIMIDATION,135
2016,KIDNAPPING,202
2016,LIQUOR LAW VIOLATION,227
2016,MOTOR VEHICLE THEFT,11294
2016,NARCOTICS,13287
2016,NON - CRIMINAL,5
2016,NON-CRIMINAL,49
2016,NON-CRIMINAL (SUBJECT SPECIFIED),1
2016,OBSCENITY,51
2016,OFFENSE INVOLVING CHILDREN,2315
2016,OTHER NARCOTIC VIOLATION,4
2016,OTHER OFFENSE,17281
2016,PROSTITUTION,800
2016,PUBLIC INDECENCY,10
2016,PUBLIC PEACE VIOLATION,1607
2016,ROBBERY,11960
2016,SEX OFFENSE,984
2016,STALKING,175
2016,THEFT,61601
2016,WEAPONS VIOLATION,3449
2017,ARSON,444
2017,ASSAULT,19301
2017,BATTERY,49215
2017,BURGLARY,13000
2017,CONCEALED CARRY LICENSE VIOLATION,69
2017,CRIM SEXUAL ASSAULT,1616
2017,CRIMINAL DAMAGE,29041
2017,CRIMINAL TRESPASS,6812
2017,DECEPTIVE PRACTICE,18913
2017,GAMBLING,191
2017,HOMICIDE,674
2017,HUMAN TRAFFICKING,9
2017,INTERFERENCE WITH PUBLIC OFFICER,1086
2017,INTIMIDATION,151
2017,KIDNAPPING,190
2017,LIQUOR LAW VIOLATION,191
2017,MOTOR VEHICLE THEFT,11408
2017,NARCOTICS,11653
2017,NON-CRIMINAL,38
2017,NON-CRIMINAL (SUBJECT SPECIFIED),2
2017,OBSCENITY,87
2017,OFFENSE INVOLVING CHILDREN,2266
2017,OTHER NARCOTIC VIOLATION,11
2017,OTHER OFFENSE,17223
2017,PROSTITUTION,735
2017,PUBLIC INDECENCY,10
2017,PUBLIC PEACE VIOLATION,1498
2017,ROBBERY,11877
2017,SEX OFFENSE,1020
2017,STALKING,188
2017,THEFT,64339
2017,WEAPONS VIOLATION,4686
2018,ARSON,372
2018,ASSAULT,20368
2018,BATTERY,49774
2018,BURGLARY,11709
2018,CONCEALED CARRY LICENSE VIOLATION,149
2018,CRIM SEXUAL ASSAULT,1597
2018,CRIMINAL DAMAGE,27792
2018,CRIMINAL TRESPASS,6899
2018,DECEPTIVE PRACTICE,18347
2018,GAMBLING,201
2018,HOMICIDE,585
2018,HUMAN TRAFFICKING,14
2018,INTERFERENCE WITH PUBLIC OFFICER,1305
2018,INTIMIDATION,167
2018,KIDNAPPING,172
2018,LIQUOR LAW VIOLATION,266
2018,MOTOR VEHICLE THEFT,9993
2018,NARCOTICS,12833
2018,NON-CRIMINAL,38
2018,NON-CRIMINAL (SUBJECT SPECIFIED),3
2018,OBSCENITY,86
2018,OFFENSE INVOLVING CHILDREN,2239
2018,OTHER NARCOTIC VIOLATION,1
2018,OTHER OFFENSE,17061
2018,PROSTITUTION,718
2018,PUBLIC INDECENCY,14
2018,PUBLIC PEACE VIOLATION,1367
2018,ROBBERY,9688
2018,SEX OFFENSE,1067
2018,STALKING,202
2018,THEFT,64942
2018,WEAPONS VIOLATION,5445
2019,ARSON,19
2019,ASSAULT,1263
2019,BATTERY,3136
2019,BURGLARY,724
2019,CONCEALED CARRY LICENSE VIOLATION,9
2019,CRIM SEXUAL ASSAULT,118
2019,CRIMINAL DAMAGE,1617
2019,CRIMINAL TRESPASS,519
2019,DECEPTIVE PRACTICE,1041
2019,GAMBLING,4
2019,HOMICIDE,19
2019,HUMAN TRAFFICKING,3
2019,INTERFERENCE WITH PUBLIC OFFICER,88
2019,INTIMIDATION,21
2019,KIDNAPPING,8
2019,LIQUOR LAW VIOLATION,15
2019,MOTOR VEHICLE THEFT,579
2019,NARCOTICS,1065
2019,NON-CRIMINAL,2
2019,OBSCENITY,3
2019,OFFENSE INVOLVING CHILDREN,159
2019,OTHER OFFENSE,1171
2019,PROSTITUTION,63
2019,PUBLIC PEACE VIOLATION,80
2019,ROBBERY,617
2019,SEX OFFENSE,57
2019,STALKING,14
2019,THEFT,3981
2019,WEAPONS VIOLATION,420
